"sep=;"
"ordinal_id";"github_repo_id";"repo_full_name";"repo_html_url";"repo_forks_count";"repo_stargazers_count";"repo_created_at";"repo_is_fork";"repo_has_issues";"repo_open_issues_count";"repo_has_wiki";"repo_network_count";"repo_pushed_at";"repo_size";"repo_updated_at";"wrepo_atchers_count";"project_id";"project_name";"project_url";"project_htmlurl";"project_created_at";"project_updated_at";"project_homepage_url";"project_average_rating";"project_rating_count";"project_review_count";"project_activity_level";"project_user_count";"twelve_month_contributor_count";"total_contributor_count";"twelve_month_commit_count";"total_commit_count";"total_code_lines";"main_language_name";"developer_works_during_bd";"developer_works_period";"developer_all_pushes";"developer_all_stars_given";"developer_all_creations";"developer_all_issues_created";"developer_all_pull_requests"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"258";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"True";"162";"82";"0";"8";"58";"60"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-06T01:26:03Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8590";"31216";"217018";"C++";"False";"2934";"11838";"0";"83";"0";"931"
"22";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2650";"12273";"9";"2011-05-25 23:39:40";"False";"True";"221";"False";"2650";"2015-01-06 02:46:44";"64693";"2015-01-06 02:44:24";"12273";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2015-01-05T19:24:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"15";"218";"499";"2393";"7708";"64298";"JavaScript";"True";"304";"125";"0";"32";"65";"59"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13352";"33736";"35";"2010-01-06 00:34:37";"False";"True";"1145";"True";"13352";"2015-01-06 02:57:49";"204488";"2015-01-06 02:50:48";"33736";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-06T00:52:54Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"638";"1242";"2272";"6317";"266132";"JavaScript";"False";"3212";"1144";"0";"0";"1701";"912"
"74";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"0";"True";"6";"2015-01-05 16:31:21";"371833";"2015-01-05 16:31:21";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2015-01-06T03:13:50Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6722";"165978";"PHP";"True";"280";"447";"0";"70";"0";"338"
"69";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"586";"7";"2009-01-27 20:34:16";"False";"True";"28";"True";"207";"2014-12-12 09:42:11";"12852";"2015-01-01 13:58:57";"586";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"False";"9";"16";"0";"2";"0";"0"
"54";"mosa/MOSA-Project";"mosa/MOSA-Project";"https://github.com/mosa/MOSA-Project";"35";"70";"7";"2009-12-24 04:11:15";"False";"True";"17";"True";"35";"2015-01-05 13:17:17";"67830";"2015-01-05 13:17:18";"70";"15985";"MOSA Project";"https://www.openhub.net/p/mosa-project.xml";"https://www.openhub.net/p/mosa-project";"2008-08-09T22:06:33Z";"2015-01-05T19:18:30Z";"http://www.mosa-project.org";"5.0";"5";"0";"60";"9";"6";"28";"753";"4270";"126294";"C#";"True";"3";"3";"0";"0";"1";"0"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"258";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"True";"12";"21";"0";"3";"0";"3"
"13";"ros/catkin";"ros/catkin";"https://github.com/ros/catkin";"67";"44";"13";"2011-11-07 22:19:26";"False";"True";"27";"True";"67";"2014-12-29 18:33:25";"7943";"2015-01-02 09:29:09";"44";"484417";"ROS";"https://www.openhub.net/p/ROSorg.xml";"https://www.openhub.net/p/ROSorg";"2010-07-30T02:25:37Z";"2015-01-06T01:26:03Z";"http://ros.org";"5.0";"6";"0";"70";"20";"284";"563";"8590";"31216";"217018";"C++";"False";"7908";"15320";"0";"758";"89";"2052"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13352";"33736";"35";"2010-01-06 00:34:37";"False";"True";"1145";"True";"13352";"2015-01-06 02:57:49";"204488";"2015-01-06 02:50:48";"33736";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-06T00:52:54Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"638";"1242";"2272";"6317";"266132";"JavaScript";"False";"147";"172";"0";"55";"61";"107"
